2024-975429233000000-09 2075429233:57:09.233 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 744 ms
2024-975429499000000-09 2075429499:57:09.499 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975429511000000-09 2075429511:57:09.511 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975429529000000-09 2075429529:57:09.529 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-975429536000000-09 2075429536:57:09.536 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.538 seconds (process running for 2.094)
2024-975438722000000-09 2075438722:57:18.722 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 12688 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975438724000000-09 2075438724:57:18.724 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975438760000000-09 2075438760:57:18.760 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975438760000000-09 2075438760:57:18.760 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975439463000000-09 2075439463:57:19.463 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975439471000000-09 2075439471:57:19.471 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975439474000000-09 2075439474:57:19.474 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975439475000000-09 2075439475:57:19.475 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-975439512000000-09 2075439512:57:19.512 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-975439513000000-09 2075439513:57:19.513 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 752 ms
2024-975439789000000-09 2075439789:57:19.789 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975439801000000-09 2075439801:57:19.801 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975439822000000-09 2075439822:57:19.822 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-975439833000000-09 2075439833:57:19.833 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.535 seconds (process running for 2.063)
2024-975478715000000-09 2075478715:57:58.715 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 11184 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975478716000000-09 2075478716:57:58.716 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975478752000000-09 2075478752:57:58.752 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975478752000000-09 2075478752:57:58.752 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975479466000000-09 2075479466:57:59.466 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975479474000000-09 2075479474:57:59.474 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975479476000000-09 2075479476:57:59.476 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975479476000000-09 2075479476:57:59.476 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-975479512000000-09 2075479512:57:59.512 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-975479512000000-09 2075479512:57:59.512 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 760 ms
2024-975479779000000-09 2075479779:57:59.779 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975479790000000-09 2075479790:57:59.790 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975479808000000-09 2075479808:57:59.808 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
2024-975479816000000-09 2075479816:57:59.816 INFO  [restartedMain] top.zhu.springboot.logging.Application : Started Application in 1.541 seconds (process running for 2.057)
2024-975509112000000-09 2075509112:58:29.112 INFO  [http-nio-8080-exec-1] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-975509113000000-09 2075509113:58:29.113 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Initializing Servlet 'dispatcherServlet'
2024-975509113000000-09 2075509113:58:29.113 INFO  [http-nio-8080-exec-1] org.springframework.web.servlet.DispatcherServlet : Completed initialization in 0 ms
2024-975509139000000-09 2075509139:58:29.139 INFO  [http-nio-8080-exec-1] top.zhu.springboot.logging.controller.LogController : This is a INFO log
2024-975509139000000-09 2075509139:58:29.139 WARN  [http-nio-8080-exec-1] top.zhu.springboot.logging.controller.LogController : This is a WARN log
2024-975509139000000-09 2075509139:58:29.139 ERROR [http-nio-8080-exec-1] top.zhu.springboot.logging.controller.LogController : This is a ERROR log
2024-975531635000000-09 2075531635:58:51.635 INFO  [restartedMain] top.zhu.springboot.logging.Application : Starting Application using Java 17.0.12 with PID 24084 (E:\SpringProject\spring-boot-practice\spring-boot-logging\target\classes started by ASUS in E:\SpringProject\spring-boot-practice)
2024-975531637000000-09 2075531637:58:51.637 INFO  [restartedMain] top.zhu.springboot.logging.Application : No active profile set, falling back to 1 default profile: "default"
2024-975531678000000-09 2075531678:58:51.678 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-975531678000000-09 2075531678:58:51.678 INFO  [restartedMain] org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-975532481000000-09 2075532481:58:52.481 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat initialized with port 8080 (http)
2024-975532490000000-09 2075532490:58:52.490 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Initializing ProtocolHandler ["http-nio-8080"]
2024-975532492000000-09 2075532492:58:52.492 INFO  [restartedMain] org.apache.catalina.core.StandardService : Starting service [Tomcat]
2024-975532494000000-09 2075532494:58:52.494 INFO  [restartedMain] org.apache.catalina.core.StandardEngine : Starting Servlet engine: [Apache Tomcat/10.1.28]
2024-975532532000000-09 2075532532:58:52.532 INFO  [restartedMain] org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] : Initializing Spring embedded WebApplicationContext
2024-975532533000000-09 2075532533:58:52.533 INFO  [restartedMain] org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 854 ms
2024-975532848000000-09 2075532848:58:52.848 INFO  [restartedMain] org.springframework.boot.devtools.autoconfigure.OptionalLiveReloadServer : LiveReload server is running on port 35729
2024-975532861000000-09 2075532861:58:52.861 INFO  [restartedMain] org.apache.coyote.http11.Http11NioProtocol : Starting ProtocolHandler ["http-nio-8080"]
2024-975532882000000-09 2075532882:58:52.882 INFO  [restartedMain] org.springframework.boot.web.embedded.tomcat.TomcatWebServer : Tomcat started on port 8080 (http) with context path '/'
